Product_id,Product_name,Product_category,Remaining_Stocks,Reorder_quantity,Stock_status
1000,Product_0,Electronics,2953,155,Full
1001,Product_1,Appliances,726,85,Medium
1002,Product_2,Clothing,2795,104,Full
1003,Product_3,Electronics,1712,216,Medium
1004,Product_4,Electronics,871,50,Medium
1005,Product_5,Appliances,1377,245,Medium
1006,Product_6,Clothing,961,116,Medium
1007,Product_7,Household,69,45,Low
1008,Product_8,Household,2025,74,Full
1009,Product_9,Toys,3185,108,Full
1010,Product_10,Electronics,2147,40,Full
1011,Product_11,Toys,1369,277,Medium
1012,Product_12,Electronics,4743,196,Full
1013,Product_13,Clothing,3808,194,Full
1014,Product_14,Electronics,4226,192,Full
1015,Product_15,Toys,4742,165,Full
1016,Product_16,Toys,725,72,Medium
1017,Product_17,Household,2593,17,Full
1018,Product_18,Household,1190,24,Medium
1019,Product_19,Toys,2751,73,Full
1020,Product_20,Household,4894,211,Full
1021,Product_21,Appliances,3808,259,Full
1022,Product_22,Electronics,68,20,Low
1023,Product_23,Appliances,4267,63,Full
1024,Product_24,Household,3443,202,Full
1025,Product_25,Electronics,4977,278,Full
1026,Product_26,Appliances,3930,209,Full
1027,Product_27,Clothing,2266,71,Full
1028,Product_28,Household,781,14,Medium
1029,Product_29,Clothing,1415,213,Medium
1030,Product_30,Clothing,3232,255,Full
1031,Product_31,Appliances,394,106,Low
1032,Product_32,Electronics,11,210,Low
1033,Product_33,Clothing,2374,123,Full
1034,Product_34,Electronics,781,14,Medium
1035,Product_35,Appliances,1136,12,Medium
1036,Product_36,Clothing,4421,67,Full
1037,Product_37,Toys,3179,103,Full
1038,Product_38,Household,4537,28,Full
1039,Product_39,Electronics,2803,102,Full
1040,Product_40,Toys,4798,187,Full
1041,Product_41,Household,2629,29,Full
1042,Product_42,Clothing,319,105,Low
1043,Product_43,Toys,1097,84,Medium
1044,Product_44,Appliances,1766,226,Medium
1045,Product_45,Household,1466,164,Medium
1046,Product_46,Electronics,4251,211,Full
1047,Product_47,Appliances,3808,29,Full
1048,Product_48,Electronics,4447,159,Full
1049,Product_49,Appliances,3545,215,Full
1050,Product_50,Toys,262,116,Low
1051,Product_51,Electronics,2710,264,Full
1052,Product_52,Household,3419,242,Full
1053,Product_53,Toys,3711,108,Full
